CODIGO;NOMBRE;ACTIVA;MTP;MTC
3322;SANITARIO VERONICA;T;28,78;21,22
3323;SANITARIO KHROMA;T;28,78;21,22
3324;SANITARIO GONDOLA BLANCO;T;28,78;21,22
3325;SANITARIO DAMA SENSO;T;28,78;21,22
3326;SANITARIO VERANDA;T;28,78;21,22
3327;SANITARIO INSPIRA;T;28,78;21,22
3328;SANITARIO MERIDIAM GRIS;T;28,78;21,22
3329;SANITARIO DEBBA;T;28,78;21,22
3330;SANITARIO SIDNEY;T;28,78;21,22
3331;SANITARIO CIVIC - ACCESS;T;28,78;21,22
3332;SANITARIO GEORGIA;T;28,78;21,22
3333;SANITARIO GIRALDA;T;28,78;21,22
3334;SANITARIO MERIDIAM VISON;T;28,78;21,22
3335;SANITARIO MERIDIAM BLANCO;T;28,78;21,22
3336;SANITARIO DAMA BLANCO;T;28,78;21,22
3337;SANITARIO DAMA-N ;T;28,78;21,22
3338;SANITARIO DAMA VISON;T;28,78;21,22
3339;SANITARIO CARMEN;T;28,78;21,22
3340;SANITARIO TURA;T;28,78;21,22
3341;DURAVIT;T;66,66;52
3342;SFA TRITURADORES W.C.;T;66,66;52
3343;SANITARIO VICTORIA BL.;T;28,78;21,22
3344;VICTORIA ROSA Y AZUL;T;28,78;21,22
3345;SANITARIO VICTORIA VISON;T;28,78;21,22
3346;PLATOS DUCHA MARBRES LLORET;T;66,66;55
3347;PLATO DUCHA MARMOLES STA COLOMA;T;66,66;55
3348;CANCIO, D'AQUA KITCHEN;T;66,66;55
3349;EMOTION BATH;T;81,81;81,81
3350;LAUFEN;T;60;52
3351;LAVABOS ROCA;T;28,78;21,22
3352;KERASAN;T;66,66;55
3353;URINARIOS/PLACAS TURCAS/VERTEDERO ROCA;T;36;36
3354;BATHCO;T;66,66;52
3355;VALADARES;T;66,66;52
3356;LAVADEROS - FREGADEROS;T;75;55
3357;ASIENTO Y TAPAS ESP.;T;50;50
3358;IDEAL STANDARD;T;81,81;55
3359;BÑRAS.BAÑACRIL HIDRO;T;66,17;55
3360;BAÑERAS BAÑACRIL (NORMAL);T;66,17;55
3361;KREA CONCRETE;T;67;56
3362;BAÑERAS DA VINCI;T;66,17;50
3363;ROCA HIDROMASAJE;T;36;30
3364;DISEGNO CERAMICA;T;80;60
3365;SANGRA;T;63,63;52
3366;VIEGA;T;72,24;62
3367;GEBERIT;T;48,94;38,3
3368;BAÑERAS TEUCO;T;66,66;52
3369;OLI;T;72,24;62
3370;ASTRALPOOL;T;66,66;52
3371;BAÑERAS JACUZZI;T;55;44
3372;HIDRO BOX;T;80;52
3373;ALTHEA GO ON;T;70;52
3374;ALTHEA;T;66,66;52
3375;ALTHEA PLATOS;T;66,66;52
3376;OASIS;T;81,81;52
3377;TROPIK;T;55;52
3378;SANINDUSA;T;45,45;36,36
3379;PL DUCHA SANINDUSA;T;66,66;54
3380;SANITARIO CATALANO;T;43,5;38
3381;NUDESPOL;T;125;85
3382;BECRISA;T;66,66;54
3383;SANITARIO CERSANIT;T;91,39;66
3384;SANITARIO SIMAS;T;43,5;38
3385;CERAMICA CIELO;T;80;52
3386;SANITARIOS AZURRA;T;75;55
3387;SANITARIO HATRIA MARAZZI;T;66,66;52
3388;SANITARIOS EGORE;T;80;52
3389;SANITARIO NOKEN;T;75,44;40,35
